Sr,Developers,Total Projects,Ongoing Projects
473,Bhakti,15 Total Projects, Ongoing Projects
474,Behede Properties,6 Total Projects,1 Ongoing Projects
475,Pinnac Group,11 Total Projects,3 Ongoing Projects
476,Skyline Builders,14 Total Projects,5 Ongoing Projects
477,NBM Developers,1 Total Projects, Ongoing Projects
478,Mangal Shanti,1 Total Projects, Ongoing Projects
479,Neo,3 Total Projects, Ongoing Projects
480,Manas Promoters,3 Total Projects, Ongoing Projects
481,Prem Shanti,1 Total Projects, Ongoing Projects
482,Media,3 Total Projects, Ongoing Projects
483,Shree ShyamKrupa,2 Total Projects, Ongoing Projects
484,Swati Construction,2 Total Projects, Ongoing Projects
485,Sagar Developers Pune,6 Total Projects, Ongoing Projects
486,Oxygen,1 Total Projects, Ongoing Projects
487,Prayeja Realty,4 Total Projects, Ongoing Projects
488,Ovhal,1 Total Projects,1 Ongoing Projects
489,Orchid,2 Total Projects,1 Ongoing Projects
490,Avirat Developers,2 Total Projects, Ongoing Projects
491,Shivam Nakoda,1 Total Projects, Ongoing Projects
492,Mangalam Group,4 Total Projects,1 Ongoing Projects
493,Shree Nakoda,2 Total Projects, Ongoing Projects
494,Diamond Associates,3 Total Projects, Ongoing Projects
495,Khinvasara Chavan,3 Total Projects, Ongoing Projects
496,Shreya,6 Total Projects, Ongoing Projects
497,HubTech,1 Total Projects, Ongoing Projects
498,B J Hulawale,2 Total Projects,1 Ongoing Projects
499,Phoenix Space,1 Total Projects, Ongoing Projects
500,Mohite Associates,2 Total Projects,1 Ongoing Projects
501,Krishnaleela,3 Total Projects, Ongoing Projects
502,Miracle Developers,2 Total Projects, Ongoing Projects
503,Jain Ashiyana,1 Total Projects, Ongoing Projects
504,Vistacore Group,4 Total Projects, Ongoing Projects
505,Golden Bricks Properties,5 Total Projects,1 Ongoing Projects
506,S P Associates,1 Total Projects,1 Ongoing Projects
507,Aishwarya Properties,1 Total Projects, Ongoing Projects
508,Bhalachandra Builders And Developers,2 Total Projects,1 Ongoing Projects
509,Shree Tirupati Housing,1 Total Projects, Ongoing Projects
510,Rising Spaces,4 Total Projects, Ongoing Projects
511,Alpine Homes,2 Total Projects, Ongoing Projects
512,Shree Raj Construction,3 Total Projects, Ongoing Projects
513,Agarwal Constructions,1 Total Projects, Ongoing Projects
514,Sanika,3 Total Projects,1 Ongoing Projects
515,Eureka Structures,2 Total Projects, Ongoing Projects
516,JM,2 Total Projects, Ongoing Projects
517,Alliance Builders,18 Total Projects, Ongoing Projects
518,Inamdar Properties,,
519,Galaxy Ventures,1 Total Projects, Ongoing Projects
520,Sanskruti Developer,6 Total Projects,4 Ongoing Projects
521,Shreeram Empire,,
522,Ansh Construction Pune,,
523,Vastukalp,4 Total Projects,1 Ongoing Projects
524,RBCH,3 Total Projects,1 Ongoing Projects
525,Trimurti,1 Total Projects, Ongoing Projects
526,Anaya Developers,,
527,Prime Construction Pune,,
528,Shri Sadguru Developers,,
529,MR,1 Total Projects, Ongoing Projects
530,Shri Sai,2 Total Projects, Ongoing Projects
531,Vakratund Reality Pune,,
532,Samartha Properties,,
533,Aarav,5 Total Projects, Ongoing Projects
534,Navkar Groups,8 Total Projects,3 Ongoing Projects
535,Shreepad,3 Total Projects,1 Ongoing Projects
536,Creative Properties,,
537,Samartha Trimurthi,4 Total Projects,1 Ongoing Projects
538,Greenland,1 Total Projects, Ongoing Projects
539,Pyramid Constructions,,
540,Vastushri,3 Total Projects,3 Ongoing Projects
541,Giriraj Associates,1 Total Projects, Ongoing Projects
542,Sri Ram,1 Total Projects, Ongoing Projects
543,Param Group Pune,2 Total Projects, Ongoing Projects
544,Aura Realtors,2 Total Projects, Ongoing Projects
545,Anjani Buildcon,4 Total Projects,2 Ongoing Projects
546,Mandot,3 Total Projects, Ongoing Projects
547,Acropolis Purple Developers,4 Total Projects,1 Ongoing Projects
548,JKG Developers,1 Total Projects, Ongoing Projects
